volgnr,pagina,voorletters,tussenvoegsel,achternaam,achtervoegsel,rol,vereniging
1,218,J.P.,,Nobels,,President,haarlem
2,218,C.,,Boss,,Vice-President,haarlem
3,218,P.,,Veen,,Penningmeester,haarlem
4,218,M.,,Uitenbosch,,Secretaris,haarlem
5,218,N.,van,Amesfoort,,Ceremoniemeester,haarlem
6,218,C.,,Bies,,Agent,haarlem
7,218,J.W.,,Mulder,,Agent,haarlem
8,218,H.N.,van,Amesfoort,,Agent,haarlem
9,218,D.,,Andrea,,Commissaris van toezigt,haarlem
10,218,P.,,Lennings,,Commissaris van toezigt,haarlem
11,218,H.,de,Wilde,,banierdrager,haarlem
12,218,F.,van,Aalst,,,haarlem
13,218,D.,,Andrea,,,haarlem
14,218,B.,,Arps,,,haarlem
15,218,P.,,Baars,,,haarlem
16,218,A.,,Boeree,,,haarlem
17,218,H.,,Boeree,,,haarlem
18,218,J.F.C.,,Bolenius,,,haarlem
19,218,J.W.,van den,Boogaard,,,haarlem
20,218,H.C.,,Boon,,,haarlem
21,218,M.,,Boss,,,haarlem
22,218,J.,,Brouwer,,,haarlem
23,218,J.B.,,Brauckmann,,,haarlem
24,218,C.,,Bruigom,,,haarlem
25,218,J.,van,Brussel,,,haarlem
26,218,J.,,Coule,,,haarlem
27,218,J.,van,Dalen,,,haarlem
28,218,J.J.,,Derr,,,haarlem
29,218,W.,,Dröse,,,haarlem
30,218,A.,la,Duc,,,haarlem
31,218,J.,,Duijff,,,haarlem
32,218,J.,van,Duijn,,,haarlem
33,218,J.,,Dweelaart,,,haarlem
34,218,E.,de,Haan,,,haarlem
35,218,J.,,Haeseker,,,haarlem
36,218,J.F.,,Haeseker,,,haarlem
37,218,H.,,Hazenkamp,,,haarlem
38,218,J.,,Hennevelt,,,haarlem
39,218,J.,,Hirs,,,haarlem
40,218,J.W.,,Hos,,,haarlem
41,218,D.P.,,Immer,,,haarlem
42,218,P.,,Jansen,,,haarlem
43,218,J.,,Joore,,,haarlem
44,218,W.J.,,Kat,,,haarlem
45,218,A.,,Kerkhoff,,,haarlem
46,218,D.,,Klenk,,,haarlem
47,218,J.,,Kroonsberg,,,haarlem
48,218,A.,,Kruiter,,,haarlem
49,218,J.R.V.,,Kruseman,,,haarlem
50,218,A.J.,van,Leeuwen,,,haarlem
51,218,J.,,Madern,,,haarlem
52,218,E.H.,,Meeuweszen,,,haarlem
53,218,J.,,Meijer,,,haarlem
54,218,H.,,Middendorp,,,haarlem
55,218,K.F.,,Misset,,,haarlem
56,218,D.C.,,Moorhoff,,,haarlem
57,218,W.F.,,Negrijn,,,haarlem
58,218,G.,,Oostenbroek,,,haarlem
59,218,A.,,Pols,,,haarlem
60,218,N.,van,Putten,,,haarlem
61,218,E.,,Serné,,,haarlem
62,218,W.,,Serné,jr.,,haarlem
63,218,J.,,Smit,,,haarlem
64,218,W.E.,,Smit,,,haarlem
65,218,C.,van,Stocking,,,haarlem
66,218,A.,,Swenneker,,,haarlem
67,218,J.C.,,Swenneker,,,haarlem
68,218,,,Uilenburg,,,haarlem
69,218,D.,van,Veen,,,haarlem
70,218,W.,van,Veen,,,haarlem
71,218,G.,,Veldheer,,,haarlem
72,218,,van der,Vlerk,,,haarlem
73,218,P.,,Walter,,,haarlem
74,218,G.,van de,Weetering,,,haarlem
75,218,G.,van de,Weetering,jr.,,haarlem
76,218,A.,,Wensing,,,haarlem
77,218,J.H.,,Zuurendonk,,,haarlem
78,218,J.F.,,Badoux,,President,den haag
79,218,J.,,Grootens,,Vice-President,den haag
80,218,C.G.,van,Honstede,,ceremoniemeester,den haag
81,218,W.J.,de,Gruijter,,Eerste Secretaris,den haag
82,218,J.H.,,Regenboog,,Tweede Secretaris,den haag
83,219,M.,van,Bergen,,,den haag
84,219,J.J.,,Boshart,,,den haag
85,219,A.,,Cheizoo,,,den haag
86,219,J.H.,,Dornbach,,,den haag
87,219,J.J.,van der ,Eijk,,,den haag
88,219,A.,,Gaal,,,den haag
89,219,M.J.,,Gillissen,,,den haag
90,219,D.,de,Groot,,,den haag
91,219,N.,de,Groot,,,den haag
92,219,W.,,Hartogh,,,den haag
93,219,H.B.,,Heller,,,den haag
94,219,F.,,Hommes,,,den haag
95,219,A.,,Hoogeveen,,,den haag
96,219,P.,in 't,Hout,,,den haag
97,219,C.J.,van,Houten,,,den haag
98,219,J.J.,,Hubel,,,den haag
99,219,R.,,Hulsker,,,den haag
100,219,N.A.,van,Hulst,,,den haag
101,219,W.,,Jalink,,,den haag
102,219,J.,,Jansen,,,den haag
103,219,J.,,Keyzer,,,den haag
104,219,H.,,Kiefmeijer,,,den haag
105,219,W.,,Kok,,,den haag
106,219,H.F.,,Kokx,,,den haag
107,219,J.,de,Koning,,,den haag
108,219,L.,,Krul,,,den haag
109,219,J.,,Kruuk,,,den haag
110,219,H.,,Kuisch,,,den haag
111,219,B.,,Kuit,,,den haag
112,219,N.A.,de,Lange,,,den haag
113,219,H.,van,Loon,,,den haag
114,219,W.H.,van,Loon,,,den haag
115,219,E.A.,,Meijer,,,den haag
116,219,H.A.,van,Oije,,,den haag
117,219,J.B.,,Orleans,,,den haag
118,219,M.J.,,Orlians,,,den haag
119,219,G.,,Palm,,,den haag
120,219,W.,,Palm,,,den haag
121,219,J.C.,,Ratering,,,den haag
122,219,H.,,Remmerswaal,,,den haag
123,219,N.,,Ruivekamp,,,den haag
124,219,G.,,Scheffelaar,,,den haag
125,219,J.,,Schouten,,,den haag
